name,longitude,latitude
Expo Line,-122.851338,49.202617
Expo Line,-122.850927,49.202107
Expo Line,-122.850724,49.201745
Expo Line,-122.850622,49.200968
Expo Line,-122.850624,49.200092
Expo Line,-122.8506,49.198071
Expo Line,-122.850636,49.196482
Expo Line,-122.850675,49.195055
Expo Line,-122.850674,49.195039
Expo Line,-122.850507,49.194411
Expo Line,-122.85015,49.193958
Expo Line,-122.849695,49.193524
Expo Line,-122.8485,49.192438
Expo Line,-122.848129,49.192051
Expo Line,-122.847855,49.191519
Expo Line,-122.847792,49.190451
Expo Line,-122.847882,49.188983
Expo Line,-122.847828,49.188613
Expo Line,-122.847617,49.188093
Expo Line,-122.847588,49.188065
Expo Line,-122.847216,49.187511
Expo Line,-122.847011,49.187024
Expo Line,-122.847033,49.186515
Expo Line,-122.847032,49.186511
Expo Line,-122.847034,49.185554
Expo Line,-122.847075,49.184626
Expo Line,-122.846971,49.18416
Expo Line,-122.84697,49.184155
Expo Line,-122.846821,49.183883
Expo Line,-122.846628,49.183683
Expo Line,-122.846164,49.183384
Expo Line,-122.845654,49.183191
Expo Line,-122.844547,49.182703
Expo Line,-122.902211,49.206636
Expo Line,-122.900549,49.207728
Expo Line,-122.898761,49.209107
Expo Line,-122.897151,49.210494
Expo Line,-122.895393,49.212531
Expo Line,-122.894336,49.214295
Expo Line,-122.893523,49.216156
Expo Line,-122.892748,49.219025
Expo Line,-122.892439,49.220356
Expo Line,-122.892207,49.221677
Expo Line,-122.89177,49.22258
Expo Line,-122.89123,49.223134
Expo Line,-122.889827,49.22442
Expo Line,-122.88878,49.225229
Expo Line,-122.884594,49.228712
Expo Line,-122.883614,49.229421
Expo Line,-122.883027,49.230046
Expo Line,-122.882684,49.230625
Expo Line,-122.882429,49.231146
Expo Line,-122.882403,49.231776
Expo Line,-122.882519,49.232675
Expo Line,-122.883056,49.234987
Expo Line,-122.883819,49.236264
Expo Line,-122.884644,49.237103
Expo Line,-122.890764,49.240571
Expo Line,-122.891833,49.241305
Expo Line,-122.892447,49.241818
Expo Line,-122.892612,49.242279
Expo Line,-122.892719,49.242857
Expo Line,-122.892824,49.243611
Expo Line,-122.892933,49.244575
Expo Line,-122.8935,49.245574
Expo Line,-122.894553,49.246316
Expo Line,-122.895918,49.246928
Expo Line,-122.8979994,49.2482231
Expo Line,-122.9010404,49.249722
Expo Line,-122.903723,49.2505888
Expo Line,-122.907296,49.2511138
Expo Line,-122.9182054,49.2528914
Millennium Line,-122.79152,49.285843
Millennium Line,-122.792781,49.284443
Millennium Line,-122.793302,49.283334
Millennium Line,-122.793539,49.28228
Millennium Line,-122.793671,49.281241
Millennium Line,-122.793864,49.280562
Millennium Line,-122.798803,49.27483
Millennium Line,-122.79902,49.274639
Millennium Line,-122.799297,49.274506
Millennium Line,-122.799627,49.274486
Millennium Line,-122.799999,49.274563
Millennium Line,-122.800465,49.27474
Millennium Line,-122.801848,49.275291
Millennium Line,-122.803823,49.275965
Millennium Line,-122.805035,49.276172
Millennium Line,-122.806991,49.276396
Millennium Line,-122.811466,49.276469
Millennium Line,-122.816627,49.276586
Millennium Line,-122.821084,49.27667
Millennium Line,-122.823585,49.276733
Millennium Line,-122.825943,49.276848
Millennium Line,-122.826789,49.277012
Millennium Line,-122.82761,49.277203
Millennium Line,-122.82763,49.277215
Millennium Line,-122.828743,49.277397
Millennium Line,-122.830592,49.277601
Millennium Line,-122.83265,49.277849
Millennium Line,-122.834962,49.277963
Millennium Line,-122.840397,49.278089
Millennium Line,-122.845102,49.278134
Millennium Line,-122.849845,49.278116
Millennium Line,-122.853825,49.277898
Millennium Line,-122.857398,49.277943
Millennium Line,-122.859945,49.278422
